Brand,Series,Model,Model Number,RAM (GB),Storage (GB),Variant,4G/5G,Launch Year,Current India Price (₹),Price Status,Price Checked,Price Source,Price Basis
ASUS,ASUS,ROG Phone 9,AI2401,12.0,256.0,12GB RAM / 256GB,5G,2024,79999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
CMF,Phone,CMF Phone 1,A015,8.0,256.0,8GB RAM / 256GB,5G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
CMF,Phone,CMF Phone 2 Pro,A059,8.0,128.0,8GB RAM / 128GB,5G,2025,22999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
CMF,Phone,CMF Phone 2 Pro,A059,8.0,256.0,8GB RAM / 256GB,5G,2025,22999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10,GKWS6,12.0,128.0,12GB RAM / 128GB,5G,2025,67150.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10,GKWS6,12.0,256.0,12GB RAM / 256GB,5G,2025,67150.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro,GRY0E,16.0,128.0,16GB RAM / 128GB,5G,2025,94990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro,GRY0E,16.0,256.0,16GB RAM / 256GB,5G,2025,94990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro,GRY0E,16.0,512.0,16GB RAM / 512GB,5G,2025,94990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro XL,GEHN3,16.0,256.0,16GB RAM / 256GB,5G,2025,112910.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro XL,GEHN3,16.0,512.0,16GB RAM / 512GB,5G,2025,112910.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 10 Pro XL,GEHN3,16.0,1024.0,16GB RAM / 1024GB,5G,2025,112910.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11,,12.0,128.0,12GB RAM / 128GB,5G,2026,82680.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11,,12.0,256.0,12GB RAM / 256GB,5G,2026,82680.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro,,16.0,128.0,16GB RAM / 128GB,5G,2026,119999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro,,16.0,256.0,16GB RAM / 256GB,5G,2026,119999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro,,16.0,512.0,16GB RAM / 512GB,5G,2026,119999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro XL,,16.0,256.0,16GB RAM / 256GB,5G,2026,134999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro XL,,16.0,512.0,16GB RAM / 512GB,5G,2026,134999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 11 Pro XL,,16.0,1024.0,16GB RAM / 1024GB,5G,2026,134999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 8a,GKV4X,8.0,128.0,8GB RAM / 128GB,5G,2024,36999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 8a,GKV4X,8.0,256.0,8GB RAM / 256GB,5G,2024,36999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9,G2YBB,12.0,128.0,12GB RAM / 128GB,5G,2024,59990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9,G2YBB,12.0,256.0,12GB RAM / 256GB,5G,2024,59990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro,GR83Y,16.0,128.0,16GB RAM / 128GB,5G,2024,85999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro,GR83Y,16.0,256.0,16GB RAM / 256GB,5G,2024,85999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro,GR83Y,16.0,512.0,16GB RAM / 512GB,5G,2024,85999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro XL,GZPFO,16.0,128.0,16GB RAM / 128GB,5G,2024,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro XL,GZPFO,16.0,256.0,16GB RAM / 256GB,5G,2024,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro XL,GZPFO,16.0,512.0,16GB RAM / 512GB,5G,2024,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9 Pro XL,GZPFO,16.0,1024.0,16GB RAM / 1024GB,5G,2024,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9a,GTF7P,8.0,128.0,8GB RAM / 128GB,5G,2025,49699.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Google,Pixel,Pixel 9a,GTF7P,8.0,256.0,8GB RAM / 256GB,5G,2025,49699.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Fusion,TA-1583,6.0,128.0,6GB RAM / 128GB,5G,2024,16990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Fusion,TA-1583,8.0,256.0,8GB RAM / 256GB,5G,2024,16990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Pulse Pro,TA-1585,6.0,128.0,6GB RAM / 128GB,4G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Pulse Pro,TA-1585,8.0,256.0,8GB RAM / 256GB,4G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Skyline,TA-1688,8.0,128.0,8GB RAM / 128GB,5G,2024,26515.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
HMD,HMD,HMD Skyline,TA-1688,12.0,256.0,12GB RAM / 256GB,5G,2024,26515.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 200,E-NX9,8.0,256.0,8GB RAM / 256GB,5G,2024,19998.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 200,E-NX9,12.0,512.0,12GB RAM / 512GB,5G,2024,19998.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 200 Pro,E-NX9,12.0,512.0,12GB RAM / 512GB,5G,2024,36999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 400,,8.0,256.0,8GB RAM / 256GB,5G,2025,29999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 400,,12.0,512.0,12GB RAM / 512GB,5G,2025,29999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor,Honor 400 Pro,,12.0,512.0,12GB RAM / 512GB,5G,2025,39999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Magic,Honor Magic V5,,16.0,512.0,16GB RAM / 512GB,5G,2025,159999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Magic,Honor Magic V5,,16.0,1024.0,16GB RAM / 1024GB,5G,2025,159999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Magic,Honor Magic7 Pro,PGT-N19,12.0,512.0,12GB RAM / 512GB,5G,2025,79999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Magic,Honor Magic7 Pro,PGT-N19,16.0,512.0,16GB RAM / 512GB,5G,2025,79999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Play,Honor Play 11 5G,,6.0,128.0,6GB RAM / 128GB,5G,2026,12999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor Play,Honor Play 11 5G,,8.0,256.0,8GB RAM / 256GB,5G,2026,12999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X7c,CLK-NX2,6.0,128.0,6GB RAM / 128GB,4G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X7c,CLK-NX2,8.0,256.0,8GB RAM / 256GB,4G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X9b,CLK-NX1,8.0,256.0,8GB RAM / 256GB,5G,2024,21990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X9b,CLK-NX1,12.0,256.0,12GB RAM / 256GB,5G,2024,21990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X9c,ALT-NX1,8.0,256.0,8GB RAM / 256GB,5G,2024,22998.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Honor,Honor X,Honor X9c,ALT-NX1,12.0,256.0,12GB RAM / 256GB,5G,2024,22998.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Huawei,Huawei,Huawei Mate 70 Pro,,12.0,256.0,12GB RAM / 256GB,5G,2024,99999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Huawei,Huawei,Huawei Mate 70 Pro,,12.0,512.0,12GB RAM / 512GB,5G,2024,99999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Huawei,Huawei,Huawei Pura 80 Ultra,,16.0,512.0,16GB RAM / 512GB,5G,2025,149999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Huawei,Huawei,Huawei Pura 80 Ultra,,16.0,1024.0,16GB RAM / 1024GB,5G,2025,149999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix GT,Infinix GT 30 Pro,X6873,8.0,256.0,8GB RAM / 256GB,5G,2025,31999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Infinix,Infinix GT,Infinix GT 30 Pro,X6873,12.0,256.0,12GB RAM / 256GB,5G,2025,31999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Infinix,Infinix GT,Infinix GT 50 Pro,,8.0,256.0,8GB RAM / 256GB,5G,2026,37990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Infinix,Infinix GT,Infinix GT 50 Pro,,12.0,512.0,12GB RAM / 512GB,5G,2026,37990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Infinix,Infinix Hot,Infinix Hot 60 5G,,4.0,128.0,4GB RAM / 128GB,5G,2025,12999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Hot,Infinix Hot 60 5G,,6.0,128.0,6GB RAM / 128GB,5G,2025,12999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Hot,Infinix Hot 60 Pro+,,8.0,128.0,8GB RAM / 128GB,4G,2025,17999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Hot,Infinix Hot 60 Pro+,,8.0,256.0,8GB RAM / 256GB,4G,2025,17999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50,X6858,8.0,256.0,8GB RAM / 256GB,4G,2025,16999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50,X6858,12.0,256.0,12GB RAM / 256GB,4G,2025,16999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50 Pro,X6850,8.0,256.0,8GB RAM / 256GB,4G,2025,19999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50 Pro,X6850,12.0,256.0,12GB RAM / 256GB,4G,2025,19999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50 Pro+ 5G,X6851,8.0,256.0,8GB RAM / 256GB,5G,2025,29999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Note,Infinix Note 50 Pro+ 5G,X6851,12.0,256.0,12GB RAM / 256GB,5G,2025,29999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Zero,Infinix Zero 40 5G,X6861,12.0,256.0,12GB RAM / 256GB,5G,2024,26990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Infinix,Infinix Zero,Infinix Zero 40 5G,X6861,12.0,512.0,12GB RAM / 512GB,5G,2024,26990.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Lava,Lava Agni,Lava Agni 3 5G,LXX504,8.0,128.0,8GB RAM / 128GB,5G,2024,20999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Lava,Lava Agni,Lava Agni 3 5G,LXX504,8.0,256.0,8GB RAM / 256GB,5G,2024,20999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Lava,Lava Blaze,Lava Blaze X 5G,LXX508,4.0,128.0,4GB RAM / 128GB,5G,2024,14999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Lava,Lava Blaze,Lava Blaze X 5G,LXX508,8.0,128.0,8GB RAM / 128GB,5G,2024,14999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Lava,Lava Blaze,Lava Blaze X 5G,LXX508,8.0,256.0,8GB RAM / 256GB,5G,2024,14999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
